"lreg_pv","lreg_beta","rq_pval.t50","rq_beta.t50","rq_pval.t75","rq_beta.t75","rq_pval.t95","rq_beta.t95","rq_pval.t99","rq_beta.t99","quail_pval","quail_beta","meffect","sdeffect","skew","afreq"
1.33357075497139e-175,3.91933180965161,0,3.98708601490481,0,3.90706434839898,0,4.08319248502571,0,4.50549392536788,0.264001232911987,0.121902174208393,0.2,0,0,0.5
4.66453822602143e-141,3.51065508029749,0,3.40924993839369,0,3.43644279841453,0,3.61371005188622,0,3.68434261886335,0.68790132492478,0.0428806205190293,0.2,0,0,0.5
5.21012129385322e-173,3.90216979296844,0,3.77123966949597,0,4.03779277134109,0,4.43970555440526,0,4.08424388318514,0.0700298637041857,0.191858968785332,0.2,0,0,0.5
2.96902398332228e-167,3.81333757698125,0,3.80476495926762,0,3.78871737899421,0,3.78702288420514,0,4.2549787124933,0.819846748189767,-0.0242257411730092,0.2,0,0,0.51
4.25126599790104e-157,3.67562371368857,0,3.61609643782481,0,3.73032638936373,0,3.85121623406422,6.08402217494586e-14,3.64523897355524,0.903252870322582,-0.0124758006738512,0.2,0,0,0.51
2.01553133274274e-166,3.73933409922425,0,3.75627826051128,0,3.81696086973088,0,3.36534073107318,4.8186915346804e-08,2.66968975984918,0.200066657105153,-0.133768977651697,0.2,0,0,0.51
3.46674201023536e-172,3.93612980296843,0,4.00903198144298,0,3.88186488692254,0,3.59340288286332,0,3.63373577536982,0.130767364795576,-0.159301772995793,0.2,0,0,0.52
9.20002060391183e-162,3.71564246272291,0,3.70386881585883,0,3.5943793298507,0,4.12780117908757,0,3.7524346263908,0.995729521265135,0.000562397935027716,0.2,0,0,0.52
8.33934675777284e-157,3.65279215146654,0,3.53708845972224,0,3.6866227536686,0,3.58287787651513,4.22243129349908e-10,3.49931950295977,0.769658754229501,-0.0301905104029182,0.2,0,0,0.52
3.91667287382017e-165,3.79598740748102,0,3.70046116309928,0,3.75624134221234,0,3.8451674646849,3.93698407208376e-11,3.61487109356094,0.89123287492786,-0.0141063273766086,0.2,0,0,0.53
7.76683128905178e-169,3.79941933684007,0,3.87917745370758,0,3.65634721277624,0,3.99204948793291,0,4.0298113338261,0.444269385036598,-0.0788612924442858,0.2,0,0,0.53
2.86664836524181e-162,3.80450629272072,0,3.82682796088604,0,3.794505502468,0,4.0822924052925,6.96460178417624e-09,3.14323960740088,0.876396805991038,-0.0165661624661961,0.2,0,0,0.53
3.36087036642408e-157,3.70860446634204,0,3.66417539200177,0,3.53217080980036,0,3.60682613265945,0,3.91393595545596,0.301066495016187,-0.112228143763453,0.2,0,0,0.54
4.77797747041897e-168,3.74351153066491,0,3.74045513036983,0,3.86330184568826,0,4.12297262163648,7.99360577730113e-15,3.82599435649061,0.0248534595685424,0.232214143458897,0.2,0,0,0.54
1.18910608041806e-150,3.53878102194779,0,3.46286635490694,0,3.55476028722489,0,3.64892123358543,6.06978911577016e-11,3.54690685401056,0.520327259921174,-0.0676442187208839,0.2,0,0,0.54
6.0284132006377e-148,3.58236156110769,0,3.65267193260641,0,3.53155492301497,0,3.65079063937531,2.0669312927879e-08,3.83184740051987,0.947819915204055,-0.00675484554224841,0.2,0,0,0.55
2.06867395015795e-155,3.62268125772192,0,3.71710572615906,0,3.72448840187394,0,3.5640204621746,0,3.52365065924605,0.764629612647629,0.0314211197043522,0.2,0,0,0.55
1.83780260160868e-165,3.79467061647143,0,3.77716894361664,0,3.76486633435175,0,3.47453216829126,1.95749771947362e-09,3.60326362821968,0.607088667918759,-0.0547427813720356,0.2,0,0,0.5
2.38000267570256e-177,4.05004659381453,0,4.11899300166135,0,3.96374931045595,0,3.81591134136835,7.01660951563099e-14,3.48646160029225,0.579304938332891,-0.0611600682741273,0.2,0,0,0.5
3.15751674958322e-168,3.73884444628338,0,3.64300732934005,0,3.6703129668123,0,3.60929430315871,1.78920434024121e-09,3.56386796305474,0.974765601385577,-0.0033732424320764,0.2,0,0,0.5
5.43773556698611e-175,3.92914658237885,0,3.92086978781812,0,3.95931417900901,0,3.31857398766821,2.02956607076032e-09,3.38212183976523,0.441432363282404,-0.0852025283946488,0.2,0,0,0.51
5.04681727403969e-168,3.83285073272753,0,3.64031646401655,0,3.54951148664905,0,4.05339072178881,0,4.23202528516371,0.0706717940861042,-0.188556846587787,0.2,0,0,0.51
4.24972473908934e-181,4.01082864707065,0,4.08484178102616,0,3.97622227129576,0,3.57893643804852,2.59214871789482e-12,2.76851644603276,0.139499526392254,-0.155001963186424,0.2,0,0,0.51
5.91791624801694e-191,3.99206480009522,0,3.90328461102839,0,3.89826859639307,0,4.08508259007641,1.89011029050334e-11,3.48676251904391,0.367774869960042,-0.0914725646140558,0.2,0,0,0.52
5.19353503323156e-160,3.71302699589985,0,3.7184165073044,0,3.65087658059835,0,3.32234467481445,1.82076576038526e-14,3.94915737352258,0.318258843551385,-0.105727444160242,0.2,0,0,0.52
8.19341253104206e-178,4.00835875074612,0,4.04550557213224,0,4.04063370380788,0,3.58319518246567,0,3.93278416787787,0.853720059692884,-0.0200355574039417,0.2,0,0,0.52
5.3309855673709e-183,3.9001031447659,0,3.90277175350861,0,3.88670642997839,0,3.68789241922189,0,3.56799354629311,0.531416140536404,-0.0637792241195925,0.2,0,0,0.53
8.2523462780343e-170,3.81820042066343,0,3.75565782893791,0,3.78700425414761,0,3.95047778029251,0,4.88657556307522,0.589411629027069,0.0557631054056354,0.2,0,0,0.53
9.53792001785087e-157,3.69240166239229,0,3.55824015852739,0,3.44747131250696,0,3.60750805327851,1.81499260065721e-12,4.2165979609841,0.0329812101628033,-0.226468251583705,0.2,0,0,0.53
1.07993510665187e-157,3.71879571356802,0,3.87994379959267,0,3.63063291525235,0,3.37676422577541,0,3.83745556043002,0.0584740697981261,-0.2093294416236,0.2,0,0,0.54
3.33344507954684e-168,3.83382703922493,0,3.85442030323562,0,3.54667441004977,0,3.86255837942097,0,3.64774728136161,0.200177445846302,-0.136061258305542,0.2,0,0,0.54
3.50916040283434e-157,3.72375527076255,0,3.53471287048794,0,3.58273775445015,0,3.92051721062249,5.27888843748769e-12,3.60798922619781,0.184348180080954,-0.144184767597998,0.2,0,0,0.54
